student,sex,glasses,english,statsofar,ageguess,smoke,h.left,h.right,handedness,statfuture,haircut,lecture,alone,height.in,hand.span,favcolor,lastsleep,pulse,year,lovetrueage
201901,NA,y,y,6,42,1,1,19,0.9,7,120,2,2,65,19.2,teal,6.8,81,2019,52.5
201902,NA,y,y,7,53,1,19,10,-0.310344828,7,20,1,1,72,27,blue,9,70,2019,52.5
201903,NA,y,y,4,45,1,0,10,1,7,20,3,2,62,17,purple,7,90,2019,52.5
201904,NA,y,y,7,45,1,16,10,-0.230769231,7,0,2,2,70,22,blue,6,74,2019,52.5
201905,NA,y,y,6,42,1,2,16,0.777777778,7,6.99,2,3,69,19.2,blue,8,69,2019,52.5
201906,NA,y,y,7,50,1,10,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,52.5
201907,NA,y,y,5,56,1,1,13,0.857142857,6,25,2,3,66,20.5,green,6,84,2019,52.5
201908,NA,n,n,6,50,1,0,10,1,6,80,4,4,68,19,red,6,76,2019,52.5
201909,NA,n,y,6,52,1,0,17,1,7,16,2,3,70,23.7,green,7,74,2019,52.5
201910,NA,n,y,4,42,1,18,10,-0.285714286,7,12.5,2,3,68,19,blue,7,70,2019,52.5
201911,NA,n,n,5,43,1,5,13,0.444444444,7,1,2,3,71,21,blue,8.5,84,2019,52.5
201912,NA,y,y,5,52,1,1,13,0.857142857,7,25,3,4,71,23,blue,7,78,2019,52.5
201913,NA,y,y,7,50,2,1,19,0.9,7,20,3,3,69,19.2,red,7,74,2019,52.5
201914,NA,y,y,4,50,1,1,9,0.8,6,30,2,4,75,23,black,8,65,2019,52.5
201915,NA,y,y,5,45,1,0,20,1,6,100,3,2,63,21,blue,8,66,2019,52.5
201916,NA,n,n,6,43,1,0,16,1,6,3.5,4,3,71,19,red,12,110,2019,52.5
201917,NA,y,y,5,53,1,0,10,1,7,30,3,3,65,20,blue,6,104,2019,52.5
201918,NA,y,n,4,42,1,2,16,0.777777778,7,30,2,3,64,18,white,8,76,2019,52.5
