CityCode,StateAbbr,StateDesc,CityName,DataSource,Category,Data_Value_Type,Data_Value,MeasureId,Short_Question_Text,LongMeasureName
C-001,AL,Alabama,Birmingham,BRFSS,Health Outcomes,Crude prevalence,29.3,ARTHRITIS,Arthritis,Arthritis among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Health Outcomes,Crude prevalence,43.8,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Health Outcomes,Crude prevalence,5.6,CANCER,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Health Outcomes,Crude prevalence,10.5,CASTHMA,Current Asthma,Current asthma among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Health Outcomes,Crude prevalence,7.5,CHD,Coronary Heart Disease,Coronary heart disease among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Health Outcomes,Crude prevalence,8.8,COPD,COPD,Chronic obstructive pulmonary disease among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Health Outcomes,Crude prevalence,16.7,DIABETES,Diabetes,Diagnosed diabetes among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Health Outcomes,Crude prevalence,39.2,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years
C-001,AL,Alabama,Birmingham,BRFSS,Health Outcomes,Crude prevalence,3.8,KIDNEY,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Health Outcomes,Crude prevalence,15.2,MHLTH,Mental Health,Mental health not good for >=14 days among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Health Outcomes,Crude prevalence,16.3,PHLTH,Physical Health,Physical health not good for >=14 days among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Health Outcomes,Crude prevalence,5,STROKE,Stroke,Stroke among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Health Outcomes,Crude prevalence,22.8,TEETHLOST,Teeth Loss,All teeth lost among adults aged >=65 Years
C-001,AL,Alabama,Birmingham,BRFSS,Prevention,Crude prevalence,19.2,ACCESS2,Health Insurance,Current lack of health insurance among adults aged 18–64 Years
C-001,AL,Alabama,Birmingham,BRFSS,Prevention,Crude prevalence,81.3,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure
C-001,AL,Alabama,Birmingham,BRFSS,Prevention,Crude prevalence,76.9,CHECKUP,Annual Checkup,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Prevention,Crude prevalence,74.8,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Prevention,Crude prevalence,64.1,COLON_SCREEN,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years"
C-001,AL,Alabama,Birmingham,BRFSS,Prevention,Crude prevalence,32.9,COREM,Core preventive services for older men,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening"
C-001,AL,Alabama,Birmingham,BRFSS,Prevention,Crude prevalence,26,COREW,Core preventive services for older women,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years"
C-001,AL,Alabama,Birmingham,BRFSS,Prevention,Crude prevalence,52.6,DENTAL,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Prevention,Crude prevalence,83.6,MAMMOUSE,Mammography,Mammography use among women aged 50–74 Years
C-001,AL,Alabama,Birmingham,BRFSS,Prevention,Crude prevalence,85,PAPTEST,Pap Smear Test,Papanicolaou smear use among adult women aged 21–65 Years
C-001,AL,Alabama,Birmingham,BRFSS,Unhealthy Behaviors,Crude prevalence,13.2,BINGE,Binge Drinking,Binge drinking among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Unhealthy Behaviors,Crude prevalence,22.3,CSMOKING,Current Smoking,Current smoking among adults aged >=18 Years
C-001,AL,Alabama,Birmingham,BRFSS,Unhealthy Behaviors,Crude prevalence,35.6,LPA,Physical Inactivity,No leisure-time physical activity among adults aged >=18 Years
