iso3_code,nation,pct_low_birthweight,unicef_subregion,least_developed,pct_no_birthweight
AFG,Afghanistan,NA,South Asia,1,86.27
ALB,Albania,4.59,Eastern Europe and Central Asia,0,13.17
DZA,Algeria,7.25,Middle East and North Africa,0,11.43
AND,Andorra,7.45,Western Europe,0,3.01
AGO,Angola,15.26,Eastern and Southern Africa,1,44.8
AIA,Anguilla,NA,Latin America and Caribbean,0,NA
ATG,Antigua and Barbuda,9.05,Latin America and Caribbean,0,NA
ARG,Argentina,7.35,Latin America and Caribbean,0,3.27
ARM,Armenia,8.98,Eastern Europe and Central Asia,0,0.36
AUS,Australia,6.52,East Asia and Pacific,0,1.85
AUT,Austria,6.52,Western Europe,0,0.36
AZE,Azerbaijan,7.28,Eastern Europe and Central Asia,0,0.07
BHS,Bahamas,13.14,Latin America and Caribbean,0,12.57
BHR,Bahrain,11.91,Middle East and North Africa,0,4.25
BGD,Bangladesh,27.81,South Asia,1,67.84
BRB,Barbados,NA,Latin America and Caribbean,0,2.3
BLR,Belarus,5.06,Eastern Europe and Central Asia,0,0.23
BEL,Belgium,7.25,Western Europe,0,5.34
BLZ,Belize,8.6,Latin America and Caribbean,0,2.5
BEN,Benin,16.89,West and Central Africa,1,27.36
BTN,Bhutan,11.66,South Asia,1,27.83
BOL,Bolivia (Plurinational State of),7.22,Latin America and Caribbean,0,NA
BIH,Bosnia and Herzegovina,3.4,Eastern Europe and Central Asia,0,2.15
BWA,Botswana,15.63,Eastern and Southern Africa,0,8.86
BRA,Brazil,8.38,Latin America and Caribbean,0,2.93
VGB,British Virgin Islands,NA,Latin America and Caribbean,0,NA
BRN,Brunei Darussalam,10.76,East Asia and Pacific,0,4.47
BGR,Bulgaria,9.56,Eastern Europe and Central Asia,0,4.75
BFA,Burkina Faso,13.14,West and Central Africa,1,36.4
BDI,Burundi,15.13,Eastern and Southern Africa,1,42.57
CPV,Cabo Verde,NA,West and Central Africa,0,NA
KHM,Cambodia,12.12,East Asia and Pacific,1,9.12
CMR,Cameroon,11.96,West and Central Africa,0,39.66
