fake_id,ats_11,ats_12,ats_13,ats_14,ats_15,lab_1,lab_2,lab_3,watch_live,watch_rec,ats_21,ats_22,ats_23,ats_24,ats_25,tools_None,tools_R,tools_Rstudio,tools_Rmarkdown,tools_ggplot,tools_dplyr,tools_pipe,tools_tidyverse,tools_github,other_classes,nervous,election,communicate,biostats,pvalue,comfort,proj_data
s-001,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,I've completed this.,I've completed this.,I've completed this.,Always,Seldom,Agree,Disagree,Strongly Agree,Disagree,Neutral,0,1,0,0,0,0,0,0,0,3,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,No
s-002,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,I've started but not finished this.,I've started but not finished this.,I've started but not finished this.,About half of the time,Always,Strongly Agree,Agree,Agree,Neutral,Disagree,0,1,1,1,0,0,0,0,0,2,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Yes
s-003,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,I've completed this.,I've completed this.,I've completed this.,Always,Usually,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,1,0,0,0,0,0,0,0,0,3,Disagree,Neutral,Agree,Agree,Agree,Agree,Maybe
s-004,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,I've started but not finished this.,I've completed this.,I've completed this.,Always,About half of the time,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,0,0,1,0,0,0,0,0,0,5,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,No
s-005,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,I've completed this.,I've started but not finished this.,I've completed this.,Always,Seldom,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,0,0,1,0,1,1,0,0,0,3,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,No
s-006,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,I've completed this.,I've completed this.,I've completed this.,Usually,Seldom,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,1,0,0,0,0,0,0,0,0,1,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,No
s-007,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,I've completed this.,I've completed this.,I've completed this.,Usually,Seldom,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,0,0,1,0,0,0,0,0,0,4,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Yes
s-008,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,I've completed this.,I've started but not finished this.,I've started but not finished this.,Always,Seldom,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,0,1,1,1,1,1,1,1,0,1,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Maybe
s-009,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,I've completed this.,I've completed this.,I've completed this.,Usually,Seldom,Strongly Agree,Disagree,Agree,Disagree,Neutral,0,1,1,0,0,0,0,0,0,1,Neutral,Agree,Agree,Disagree,Agree,Strongly Agree,No
s-010,Agree,Agree,Disagree,Neutral,Neutral,I've completed this.,I've completed this.,I've completed this.,About half of the time,About half of the time,Agree,Disagree,Agree,Neutral,Disagree,0,1,1,1,0,0,0,0,0,1,Neutral,Agree,Agree,Disagree,Agree,Agree,No
s-011,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,I've completed this.,I've completed this.,I've completed this.,Always,Seldom,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,0,1,1,1,1,1,1,1,0,3,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Maybe
s-012,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,I've not yet started this.,I've completed this.,I've completed this.,Always,Seldom,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,1,0,0,0,0,0,0,0,0,3,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,No
s-013,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,I've completed this.,I've completed this.,I've completed this.,Always,Usually,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,1,0,0,0,0,0,0,0,0,3,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Maybe
s-014,Agree,Agree,Strongly Agree,Agree,Strongly Agree,I've not yet started this.,I've completed this.,I've started but not finished this.,Usually,Usually,Agree,Neutral,Agree,Strongly Agree,Neutral,0,1,1,1,0,0,0,0,0,3,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Yes
s-015,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,I've completed this.,I've not yet started this.,I've completed this.,Always,Seldom,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,1,0,0,0,0,0,0,0,0,2,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Maybe
s-016,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,I've not yet started this.,I've completed this.,I've completed this.,About half of the time,Always,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,1,0,0,0,0,0,0,0,0,3,Agree,Neutral,Agree,Disagree,Neutral,Agree,Maybe
s-017,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,I've completed this.,I've started but not finished this.,I've started but not finished this.,Usually,Seldom,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,0,1,1,1,1,0,1,0,0,1,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes
s-018,Agree,Strongly Agree,Disagree,Agree,Agree,I've completed this.,I've not yet started this.,I've started but not finished this.,Usually,Usually,Agree,Disagree,Agree,Neutral,Disagree,1,0,0,0,0,0,0,0,0,2,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,No
s-019,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,I've started but not finished this.,I've started but not finished this.,I've started but not finished this.,Always,Always,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,1,0,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Neutral,Agree,Agree,Maybe
s-020,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,I've not yet started this.,I've completed this.,I've completed this.,Usually,About half of the time,Agree,Neutral,Agree,Disagree,Disagree,0,0,0,0,0,0,0,0,1,1,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,No
s-021,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,I've started but not finished this.,I've not yet started this.,I've not yet started this.,Always,About half of the time,Agree,Disagree,Agree,Strongly Disagree,Neutral,1,0,0,0,0,0,0,0,0,1,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,No
s-022,Agree,Agree,Disagree,Strongly Agree,Agree,I've completed this.,I've completed this.,I've not yet started this.,Always,Seldom,Strongly Agree,Disagree,Agree,Disagree,Neutral,1,0,0,0,0,0,0,0,0,4,Neutral,Disagree,Neutral,Agree,Neutral,Agree,No
s-023,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,I've completed this.,I've started but not finished this.,I've started but not finished this.,Always,Seldom,Agree,Agree,Agree,Disagree,Disagree,1,0,0,0,0,0,0,0,0,0,Agree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Yes
s-024,Agree,Neutral,Disagree,Neutral,Strongly Agree,I've completed this.,I've completed this.,I've started but not finished this.,Always,Seldom,Neutral,Strongly Agree,Agree,Strongly Disagree,Neutral,1,0,0,0,0,0,0,0,0,2,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree,No
s-025,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,I've started but not finished this.,I've not yet started this.,I've started but not finished this.,Usually,About half of the time,Strongly Agree,Disagree,Agree,Disagree,Neutral,1,0,0,0,0,0,0,0,0,1,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,No
