year,actor_age,actor_name,actor_film,actress_age,actress_name,actress_film
1970,62,John Wayne,True Grit,35,Maggie Smith,The Prime of Miss Jean Brodie
1971,43,George C. Scott,Patton,34,Glenda Jackson,Women in Love
1972,42,Gene Hackman,The French Connection,34,Jane Fonda,Klute
1973,48,Marlon Brando,The Godfather,27,Liza Minnelli,Cabaret
1974,49,Jack Lemmon,Save the Tiger,37,Glenda Jackson,A Touch of Class
1975,56,Art Carney,Harry and Tonto,42,Ellen Burstyn,Alice Doesn't Live Here Anymore
1976,38,Jack Nicholson,One Flew Over the Cuckoo's Nest,41,Louise Fletcher,One Flew Over the Cuckoo's Nest
1977,60,Peter Finch,Network,36,Faye Dunaway,Network
1978,30,Richard Dreyfuss,The Goodbye Girl,32,Diane Keaton,Annie Hall
1979,40,Jon Voight,Coming Home,41,Jane Fonda,Coming Home
1980,42,Dustin Hoffman,Kramer vs. Kramer,33,Sally Field,Norma Rae
1981,37,Robert De Niro,Raging Bull,31,Sissy Spacek,Coal Miner's Daughter
1982,76,Henry Fonda,On Golden Pond,74,Katharine Hepburn,On Golden Pond
1983,39,Ben Kingsley,Gandhi,33,Meryl Streep,Sophie's Choice
1984,53,Robert Duvall,Tender Mercies,49,Shirley MacLaine,Terms of Endearment
1985,45,F. Murray Abraham,Amadeus,38,Sally Field,Places in the Heart
1986,36,William Hurt,Kiss of the Spider Woman,61,Geraldine Page,The Trip to Bountiful
1987,62,Paul Newman,The Color of Money,21,Marlee Matlin,Children of a Lesser God
1988,43,Michael Douglas,Wall Street,41,Cher,Moonstruck
1989,51,Dustin Hoffman,Rain Man,26,Jodie Foster,The Accused
1990,32,Daniel Day-Lewis,My Left Foot,80,Jessica Tandy,Driving Miss Daisy
1991,42,Jeremy Irons,Reversal of Fortune,42,Kathy Bates,Misery
1992,54,Anthony Hopkins,The Silence of the Lambs,29,Jodie Foster,The Silence of the Lambs
1993,52,Al Pacino,Scent of a Woman,33,Emma Thompson,Howards End
1994,37,Tom Hanks,Philadelphia,36,Holly Hunter,The Piano
1995,38,Tom Hanks,Forrest Gump,45,Jessica Lange,Blue Sky
1996,32,Nicolas Cage,Leaving Las Vegas,49,Susan Sarandon,Dead Man Walking
1997,45,Geoffrey Rush,Shine,39,Frances McDormand,Fargo
1998,60,Jack Nicholson,As Good as It Gets,34,Helen Hunt,As Good as It Gets
1999,46,Roberto Benigni,Life Is Beautiful,26,Gwyneth Paltrow,Shakespeare in Love
2000,40,Kevin Spacey,American Beauty,25,Hilary Swank,Boys Don't Cry
2001,36,Russell Crowe,Gladiator,33,Julia Roberts,Erin Brockovich
2002,47,Denzel Washington,Training Day,35,Halle Berry,Monster's Ball
2003,29,Adrien Brody,The Pianist,35,Nicole Kidman,The Hours
2004,43,Sean Penn,Mystic River,28,Charlize Theron,Monster
2005,37,Jamie Foxx,Ray,30,Hilary Swank,Million Dollar Baby
2006,38,Philip Seymour Hoffman,Capote,29,Reese Witherspoon,Walk the Line
2007,45,Forest Whitaker,The Last King of Scotland,61,Helen Mirren,The Queen
2008,50,Daniel Day-Lewis,There Will Be Blood,32,Marion Cotillard,La Vie en rose
2009,48,Sean Penn,Milk,33,Kate Winslet,The Reader
2010,60,Jeff Bridges,Crazy Heart,45,Sandra Bullock,The Blind Side
2011,50,Colin Firth,The King's Speech,29,Natalie Portman,Black Swan
2012,39,Jean Dujardin,The Artist,62,Meryl Streep,The Iron Lady
2013,55,Daniel Day-Lewis,Lincoln,22,Jennifer Lawrence,Silver Linings Playbook
2014,44,Matthew McConaughey,Dallas Buyers Club,44,Cate Blanchett,Blue Jasmine
2015,33,Eddie Redmayne,The Theory of Everything,54,Julianne Moore,Still Alice
2016,41,Leonardo DeCaprio,The Revenant,26,Brie Larson,Room
2017,42,Casey Affleck,Manchester by the Sea,28,Emma Stone,La La Land
2018,60,Gary Oldman,Darkest Hour,61,Frances McDormand,Three Billboards outside Ebbing MO
2019,38,Rami Malek,Bohemian Rhapsody,45,Olivia Coleman,The Favourite
2020,45,Joaquin Phoenix,Joker,51,Renee Zellweger,Judy
